m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	0,1	50	1	0,000	0,003	0,000	0,000	0,000	1,028	1,003	1,007	1,007	1,007
0	0,5	50	1	0,001	0,001	0,000	0,001	0,000	1,006	0,997	0,999	0,999	0,999
0	0,25	50	1	0,001	0,003	0,001	0,001	0,001	1,015	0,994	0,999	0,998	0,998
1	10	50	1	0,010	0,001	0,011	0,001	0,001	1,209	0,985	0,977	0,984	0,984
1	4	50	1	0,007	0,001	0,003	0,001	0,001	1,152	0,979	0,976	0,978	0,978
1	2	50	1	0,003	0,001	0,002	0,001	0,000	1,048	0,977	0,972	0,978	0,978
1	0,1	50	1	0,002	0,006	0,001	0,001	0,000	1,017	0,993	0,995	0,995	0,995
1	0,5	50	1	0,001	0,001	0,001	0,001	0,000	1,023	0,993	0,997	0,997	0,997
1	0,25	50	1	0,001	0,001	0,001	0,001	0,000	1,017	0,987	0,989	0,989	0,989
2	10	50	1	0,019	0,002	0,023	0,002	0,001	1,475	0,961	0,968	0,960	0,960
2	4	50	1	0,015	0,001	0,005	0,002	0,001	1,357	0,957	0,965	0,955	0,955
2	2	50	1	0,005	0,003	0,002	0,002	0,001	1,133	0,964	0,963	0,963	0,963
2	0,1	50	1	0,002	0,001	0,000	0,000	0,000	1,024	0,993	0,994	0,994	0,994
2	0,5	50	1	0,003	0,000	0,000	0,000	0,000	1,049	0,978	0,976	0,979	0,979
2	0,25	50	1	0,004	0,000	0,000	0,000	0,000	1,054	0,993	0,991	0,991	0,991
3	10	50	1	0,031	0,000	0,013	0,001	0,000	1,659	0,960	0,957	0,959	0,959
3	4	50	1	0,020	0,004	0,016	0,005	0,002	1,492	0,949	0,953	0,945	0,945
3	2	50	1	0,009	0,002	0,008	0,002	0,001	1,196	0,960	0,952	0,957	0,957
3	0,1	50	1	0,003	0,002	0,000	0,000	0,000	1,046	0,996	1,003	1,003	1,003
3	0,5	50	1	0,005	0,003	0,001	0,001	0,000	1,101	0,977	0,976	0,978	0,978
3	0,25	50	1	0,005	0,005	0,001	0,002	0,001	1,100	0,986	0,987	0,986	0,986
4	10	50	1	0,038	0,003	0,029	0,005	0,002	1,752	0,955	0,951	0,953	0,953
4	4	50	1	0,032	0,002	0,006	0,002	0,001	1,585	0,954	0,951	0,950	0,950
4	2	50	1	0,012	0,004	0,001	0,003	0,001	1,234	0,958	0,950	0,954	0,954
4	0,1	50	1	0,004	0,005	0,000	0,000	0,000	1,049	0,986	0,989	0,989	0,989
4	0,5	50	1	0,007	0,002	0,000	0,000	0,000	1,137	0,966	0,966	0,966	0,966
4	0,25	50	1	0,007	0,003	0,001	0,002	0,001	1,151	0,979	0,978	0,978	0,978
			max	0,080	0,037	0,230	0,036	0,018	1,753	1,004	1,008	1,007	1,007
			min	0,000	0,000	0,000	0,000	0,000	1,005	0,888	0,883	0,874	0,874
			mean	0,010	0,005	0,012	0,003	0,002	1,175	0,973	0,974	0,975	0,975
			sd	0,015	0,007	0,033	0,006	0,003	0,208	0,030	0,032	0,033	0,033
