m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
2	0,5	20	1	0,006	0,007	0,004	0,003	0,001	1,049	0,947	0,957	0,967	0,967
2	0,25	20	1	0,007	0,012	0,003	0,004	0,002	1,082	0,971	0,985	0,988	0,988
3	10	20	1	0,063	0,015	0,154	0,021	0,011	1,662	0,901	0,89	0,902	0,902
3	4	20	1	0,047	0,015	0,06	0,017	0,009	1,474	0,895	0,887	0,899	0,899
3	2	20	1	0,015	0,015	0,028	0,013	0,006	1,138	0,894	0,903	0,906	0,906
3	0,1	20	1	0,004	0,036	0,003	0,005	0,002	1,075	0,979	0,992	0,993	0,993
3	0,5	20	1	0,007	0,016	0,008	0,007	0,004	1,075	0,927	0,932	0,944	0,944
3	0,25	20	1	0,012	0,016	0,003	0,004	0,002	1,134	0,967	0,98	0,984	0,984
4	10	20	1	0,079	0,024	0,221	0,034	0,017	1,741	0,89	0,883	0,89	0,89
4	4	20	1	0,066	0,018	0,076	0,021	0,01	1,54	0,888	0,887	0,891	0,891
4	2	20	1	0,018	0,02	0,04	0,019	0,009	1,159	0,89	0,888	0,894	0,894
4	0,1	20	1	0,009	0,018	0,001	0,002	0,001	1,097	0,975	0,995	0,995	0,995
4	0,5	20	1	0,009	0,022	0,009	0,009	0,005	1,097	0,92	0,917	0,924	0,924
4	0,25	20	1	0,015	0,017	0,006	0,007	0,003	1,166	0,945	0,951	0,956	0,956
0	10	50	1	0	0	0,002	0	0	1,012	0,992	0,991	0,992	0,992
0	4	50	1	0	0	0	0	0	1,014	0,998	0,997	0,998	0,998
0	2	50	1	0,001	0,001	0,001	0,001	0	1,011	1,003	1,003	1,004	1,004
0	0,1	50	1	0	0,003	0	0	0	1,028	1,003	1,007	1,007	1,007
0	0,5	50	1	0,001	0,001	0	0,001	0	1,006	0,997	0,999	0,999	0,999
0	0,25	50	1	0,001	0,003	0,001	0,001	0,001	1,015	0,994	0,999	0,999	0,999
1	10	50	1	0,009	0,001	0,011	0,001	0,001	1,209	0,985	0,977	0,985	0,985
1	4	50	1	0,007	0,001	0,003	0,001	0	1,152	0,979	0,976	0,98	0,98
