"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"33";100;50;0;0;1;10;0,16738;0,16738;0,16738;0,04968;0,04967;0,04967;0,0468;0,0468;0,0468;0,0469;0,0469000000000001;0,0469000000000001;0,04686;0,04686;0,04686
"34";100;50;0;0;1;2;0,10854;0,10854;0,10854;0,05082;0,05081;0,05081;0,04819;0,04818;0,04818;0,05015;0,05015;0,05015;0,04937;0,04937;0,04937
"35";100;50;0;0;1;4;0,14988;0,14988;0,14988;0,05039;0,05039;0,05039;0,04733;0,04733;0,04733;0,04814;0,04813;0,04813;0,04772;0,04772;0,04772
"36";100;50;1;0;1;0,1;0,99973;0,99973;0,99973;0,99991;0,99991;0,99991;0,9999;0,9999;0,9999;0,99991;0,99991;0,99991;0,99991;0,99991;0,99991
"37";100;50;1;0;1;0,25;0,99978;0,99978;0,99978;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993
"38";100;50;1;0;1;0,5;0,99973;0,99973;0,99973;0,99984;0,99984;0,99984;0,99983;0,99983;0,99983;0,99984;0,99984;0,99984;0,99983;0,99983;0,99983
"39";100;50;1;0;1;1;0,99905;0,99905;0,99905;0,9987;0,9987;0,9987;0,99862;0,99862;0,99862;0,99868;0,99868;0,99868;0,99866;0,99866;0,99866
"40";100;50;1;0;1;10;0,27875;0,27875;0,27875;0,11882;0,11882;0,11882;0,11368;0,11368;0,11368;0,11394;0,11394;0,11394;0,11376;0,11375;0,11375
"41";100;50;1;0;1;2;0,95327;0,95326;0,95326;0,90749;0,90749;0,90749;0,90366;0,90366;0,90366;0,90611;0,9061;0,9061;0,90512;0,90511;0,90511
"42";100;50;1;0;1;4;0,63279;0,63279;0,63279;0,43671;0,43669;0,43669;0,42734;0,42734;0,42734;0,42994;0,42993;0,42993;0,42876;0,42873;0,42873
"43";20;100;0;0;1;0,1;0,39168;0,39167;0,39167;0,04542;0,04542;0,04542;0,05709;0,05709;0,05709;0,04576;0,04576;0,04576;0,04551;0,0455100000000001;0,0455100000000001
"44";20;100;0;0;1;0,25;0,32842;0,32842;0,32842;0,04534;0,04534;0,04534;0,05735;0,05735;0,05735;0,04755;0,04754;0,04754;0,04586;0,0458499999999999;0,0458499999999999
"45";20;100;0;0;1;0,5;0,19747;0,19746;0,19746;0,04484;0,04483;0,04483;0,05695;0,05694;0,05694;0,05115;0,05115;0,05115;0,0469;0,04689;0,04689
"46";20;100;0;0;1;1;0,05183;0,05183;0,05183;0,04243;0,04242;0,04242;0,05411;0,05411;0,05411;0,05283;0,05283;0,05283;0,04781;0,04781;0,04781
"47";20;100;0;0;1;10;6e-05;5,9999999999949e-05;5,9999999999949e-05;0,03736;0,0373599999999999;0,0373599999999999;0,04848;0,04848;0,04848;0,04848;0,04848;0,04848;0,04866;0,04866;0,04866
"48";20;100;0;0;1;2;0,00411;0,00410999999999995;0,00410999999999995;0,03937;0,03937;0,03937;0,05063;0,05063;0,05063;0,0509;0,0508999999999999;0,0508999999999999;0,04853;0,04853;0,04853
"49";20;100;0;0;1;4;0,00018;0,000179999999999958;0,000179999999999958;0,03762;0,03762;0,03762;0,04856;0,04856;0,04856;0,04889;0,04889;0,04889;0,04874;0,04874;0,04874
"50";20;100;1;0;1;0,1;0,99752;0,99752;0,99752;0,97314;0,97314;0,97314;0,97796;0,97796;0,97796;0,97321;0,9732;0,9732;0,97314;0,97314;0,97314
"51";20;100;1;0;1;0,25;0,99722;0,99722;0,99722;0,97194;0,97194;0,97194;0,97643;0,97643;0,97643;0,97224;0,97224;0,97224;0,97198;0,97198;0,97198
"52";20;100;1;0;1;0,5;0,99589;0,99589;0,99589;0,9708;0,97079;0,97079;0,97538;0,97538;0,97538;0,97226;0,97226;0,97226;0,97129;0,97129;0,97129
"53";20;100;1;0;1;1;0,97579;0,97579;0,97579;0,96056;0,96056;0,96056;0,96689;0,96689;0,96689;0,96532;0,96531;0,96531;0,96269;0,96269;0,96269
"54";20;100;1;0;1;10;0,00077;0,000770000000000048;0,000770000000000048;0,14312;0,14311;0,14311;0,16864;0,16864;0,16864;0,16876;0,16874;0,16874;0,16923;0,16922;0,16922
"55";20;100;1;0;1;2;0,63676;0,63676;0,63676;0,88979;0,88979;0,88979;0,90693;0,90693;0,90693;0,90701;0,90701;0,90701;0,90287;0,90286;0,90286
"56";20;100;1;0;1;4;0,06181;0,06181;0,06181;0,55597;0,55595;0,55595;0,59663;0,59663;0,59663;0,59756;0,59756;0,59756;0,59721;0,5972;0,5972
"57";20;20;0;0;1;0,1;0,05288;0,05288;0,05288;0,04575;0,04575;0,04575;0,04575;0,04575;0,04575;0,04608;0,04608;0,04608;0,04608;0,04608;0,04608
"58";20;20;0;0;1;0,25;0,05204;0,05203;0,05203;0,04451;0,04451;0,04451;0,04451;0,0445;0,0445;0,04675;0,04675;0,04675;0,04675;0,04675;0,04675
"59";20;20;0;0;1;0,5;0,0484;0,0484;0,0484;0,04133;0,04133;0,04133;0,04133;0,04133;0,04133;0,04597;0,04597;0,04597;0,04597;0,04597;0,04597
"60";20;20;0;0;1;1;0,04701;0,047;0,047;0,04011;0,04011;0,04011;0,04011;0,0401;0,0401;0,0463;0,0463;0,0463;0,0463;0,0463;0,0463
"61";20;20;0;0;1;10;0,05344;0,05344;0,05344;0,04648;0,04648;0,04648;0,04648;0,04648;0,04648;0,04692;0,04692;0,04692;0,04692;0,04692;0,04692
"62";20;20;0;0;1;2;0,04979;0,04979;0,04979;0,04229;0,04229;0,04229;0,04229;0,04229;0,04229;0,04731;0,04731;0,04731;0,04731;0,04731;0,04731
"63";20;20;0;0;1;4;0,04991;0,04991;0,04991;0,04305;0,04304;0,04304;0,04305;0,04304;0,04304;0,0448;0,04479;0,04479;0,0448;0,04479;0,04479
"64";20;20;1;0;1;0,1;0,97622;0,97622;0,97622;0,97347;0,97347;0,97347;0,97347;0,97347;0,97347;0,97362;0,97361;0,97361;0,97362;0,97361;0,97361
"65";20;20;1;0;1;0,25;0,97255;0,97254;0,97254;0,96935;0,96935;0,96935;0,96935;0,96935;0,96935;0,96983;0,96983;0,96983;0,96983;0,96983;0,96983
"66";20;20;1;0;1;0,5;0,96044;0,96044;0,96044;0,95543;0,95543;0,95543;0,95543;0,95543;0,95543;0,95802;0,95801;0,95801;0,95802;0,95801;0,95801
"67";20;20;1;0;1;1;0,87106;0,87105;0,87105;0,85789;0,85789;0,85789;0,85789;0,85789;0,85789;0,86944;0,86943;0,86943;0,86944;0,86943;0,86943
"68";20;20;1;0;1;10;0,08074;0,08073;0,08073;0,07058;0,07058;0,07058;0,07058;0,07058;0,07058;0,07109;0,07108;0,07108;0,07109;0,07108;0,07108
"69";20;20;1;0;1;2;0,54418;0,54418;0,54418;0,51949;0,51947;0,51947;0,51949;0,51949;0,51949;0,53514;0,53514;0,53514;0,53514;0,53514;0,53514
"70";20;20;1;0;1;4;0,21362;0,2136;0,2136;0,19552;0,19551;0,19551;0,19552;0,19552;0,19552;0,20039;0,20037;0,20037;0,20039;0,20037;0,20037
"71";20;50;0;0;1;0,1;0,22363;0,22363;0,22363;0,04601;0,04601;0,04601;0,05486;0,05486;0,05486;0,04636;0,04636;0,04636;0,04619;0,04618;0,04618
"72";20;50;0;0;1;0,25;0,19452;0,19451;0,19451;0,04465;0,04465;0,04465;0,05396;0,05396;0,05396;0,04697;0,04697;0,04697;0,04548;0,04548;0,04548
"73";20;50;0;0;1;0,5;0,12882;0,12882;0,12882;0,04294;0,04294;0,04294;0,05182;0,05181;0,05181;0,04856;0,04856;0,04856;0,04606;0,04606;0,04606
"74";20;50;0;0;1;1;0,04929;0,0492899999999999;0,0492899999999999;0,0405;0,04049;0,04049;0,04938;0,04937;0,04937;0,04983;0,04983;0,04983;0,04757;0,04757;0,04757
"75";20;50;0;0;1;10;0,00227;0,00226999999999999;0,00226999999999999;0,03787;0,03787;0,03787;0,04621;0,04621;0,04621;0,04634;0,04634;0,04634;0,0465;0,0465;0,0465
"76";20;50;0;0;1;2;0,01188;0,01188;0,01188;0,03857;0,03857;0,03857;0,0473;0,0473;0,0473;0,0487;0,0487;0,0487;0,04844;0,04844;0,04844
"77";20;50;0;0;1;4;0,00418;0,00417999999999996;0,00417999999999996;0,03919;0,0391899999999999;0,0391899999999999;0,04756;0,04756;0,04756;0,04821;0,0482;0,0482;0,04876;0,04875;0,04875
"78";20;50;1;0;1;0,1;0,99425;0,99425;0,99425;0,97283;0,97283;0,97283;0,97629;0,97629;0,97629;0,97291;0,97291;0,97291;0,97287;0,97287;0,97287
"79";20;50;1;0;1;0,25;0,99363;0,99363;0,99363;0,97254;0,97254;0,97254;0,97607;0,97607;0,97607;0,97299;0,97299;0,97299;0,97267;0,97267;0,97267
"80";20;50;1;0;1;0,5;0,9906;0,9906;0,9906;0,96679;0,96679;0,96679;0,97071;0,97071;0,97071;0,96816;0,96816;0,96816;0,9674;0,96739;0,96739
"81";20;50;1;0;1;1;0,95284;0,95284;0,95284;0,94039;0,94038;0,94038;0,94797;0,94797;0,94797;0,94758;0,94757;0,94757;0,9453;0,9453;0,9453
"82";20;50;1;0;1;10;0,01106;0,01106;0,01106;0,09643;0,09642;0,09642;0,11138;0,11138;0,11138;0,11158;0,11156;0,11156;0,11178;0,11178;0,11178
"83";20;50;1;0;1;2;0,6032;0,60319;0,60319;0,76752;0,76752;0,76752;0,79028;0,79028;0,79028;0,7933;0,79329;0,79329;0,79254;0,79253;0,79253
"84";20;50;1;0;1;4;0,12129;0,12128;0,12128;0,36134;0,36134;0,36134;0,39119;0,39119;0,39119;0,39319;0,39314;0,39314;0,39485;0,39483;0,39483
"85";50;100;0;0;1;0,1;0,16721;0,16721;0,16721;0,04725;0,04725;0,04725;0,05;0,05;0,05;0,0474;0,0474;0,0474;0,04735;0,04735;0,04735
"86";50;100;0;0;1;0,25;0,14995;0,14995;0,14995;0,04811;0,04811;0,04811;0,05106;0,05106;0,05106;0,04878;0,04878;0,04878;0,04852;0,04852;0,04852
"87";50;100;0;0;1;0,5;0,10795;0,10795;0,10795;0,04741;0,04741;0,04741;0,05034;0,0503400000000001;0,0503400000000001;0,04959;0,04959;0,04959;0,04874;0,04874;0,04874
"88";50;100;0;0;1;1;0,0483;0,0483;0,0483;0,04474;0,04474;0,04474;0,04734;0,04734;0,04734;0,04803;0,04803;0,04803;0,04736;0,04736;0,04736
"89";50;100;0;0;1;10;0,00564;0,00563999999999998;0,00563999999999998;0,04599;0,04599;0,04599;0,04887;0,04887;0,04887;0,04894;0,04894;0,04894;0,04899;0,04899;0,04899
"90";50;100;0;0;1;2;0,01707;0,01707;0,01707;0,04626;0,04626;0,04626;0,04919;0,04919;0,04919;0,04989;0,04989;0,04989;0,05003;0,05003;0,05003
"91";50;100;0;0;1;4;0,00788;0,00788;0,00788;0,04573;0,04573;0,04573;0,04857;0,04857;0,04857;0,04892;0,04892;0,04892;0,04912;0,0491200000000001;0,0491200000000001
"92";50;100;1;0;1;0,1;0,99978;0,99978;0,99978;0,9993;0,9993;0,9993;0,99935;0,99935;0,99935;0,9993;0,9993;0,9993;0,9993;0,9993;0,9993
"93";50;100;1;0;1;0,25;0,99974;0,99974;0,99974;0,99922;0,99922;0,99922;0,99926;0,99926;0,99926;0,99922;0,99922;0,99922;0,99922;0,99922;0,99922
"94";50;100;1;0;1;0,5;0,99973;0,99973;0,99973;0,99908;0,99908;0,99908;0,99913;0,99913;0,99913;0,99908;0,99908;0,99908;0,99908;0,99908;0,99908
"95";50;100;1;0;1;1;0,99897;0,99897;0,99897;0,99829;0,99829;0,99829;0,99842;0,99842;0,99842;0,99844;0,99844;0,99844;0,99838;0,99838;0,99838
"96";50;100;1;0;1;10;0,04376;0,04376;0,04376;0,16736;0,16736;0,16736;0,17329;0,17329;0,17329;0,17345;0,17343;0,17343;0,17358;0,17356;0,17356
"97";50;100;1;0;1;2;0,94328;0,94328;0,94328;0,97462;0,97462;0,97462;0,97601;0,97601;0,97601;0,97634;0,97634;0,97634;0,97638;0,97637;0,97637
"98";50;100;1;0;1;4;0,40697;0,40697;0,40697;0,6528;0,6528;0,6528;0,66173;0,66173;0,66173;0,66255;0,66255;0,66255;0,6631;0,6631;0,6631
"99";50;20;0;0;1;0,1;0,0023;0,00229999999999997;0,00229999999999997;0,04682;0,04682;0,04682;0,03807;0,03807;0,03807;0,04691;0,04691;0,04691;0,04702;0,04702;0,04702
"100";50;20;0;0;1;0,25;0,00399;0,00399000000000005;0,00399000000000005;0,04742;0,04742;0,04742;0,03824;0,0382400000000001;0,0382400000000001;0,04793;0,04793;0,04793;0,04851;0,0485100000000001;0,0485100000000001
