"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"35";100;50;0;0;1;4;0,19117;0,19117;0,19117;0,11193;0,11193;0,11193;0,10902;0,10902;0,10902;0,11064;0,11064;0,11064;0,10995;0,10995;0,10995
"36";100;50;1;0;1;0,1;0,99989;0,99989;0,99989;1;1;1;1;1;1;1;1;1;1;1;1
"37";100;50;1;0;1;0,25;0,99991;0,99991;0,99991;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999
"38";100;50;1;0;1;0,5;0,99971;0,99971;0,99971;0,99947;0,99947;0,99947;0,99945;0,99945;0,99945;0,99945;0,99945;0,99945;0,99945;0,99945;0,99945
"39";100;50;1;0;1;1;0,99346;0,99346;0,99346;0,98592;0,98592;0,98592;0,98533;0,98533;0,98533;0,98562;0,98562;0,98562;0,9855;0,9855;0,9855
"40";100;50;1;0;1;10;0,39658;0,39658;0,39658;0,27338;0,27338;0,27338;0,26855;0,26855;0,26855;0,26889;0,26889;0,26889;0,26874;0,26874;0,26874
"41";100;50;1;0;1;2;0,90705;0,90705;0,90705;0,84649;0,84647;0,84647;0,84275;0,84275;0,84275;0,84443;0,84443;0,84443;0,84367;0,84366;0,84366
"42";100;50;1;0;1;4;0,66835;0,66835;0,66835;0,54789;0,54789;0,54789;0,54203;0,54203;0,54203;0,54365;0,54365;0,54365;0,54299;0,54299;0,54299
"43";20;100;0;0;1;0,1;0,44469;0,44468;0,44468;0,16753;0,16753;0,16753;0,17868;0,17868;0,17868;0,16888;0,16888;0,16888;0,16787;0,16787;0,16787
"44";20;100;0;0;1;0,25;0,3731;0,3731;0,3731;0,16029;0,16029;0,16029;0,17235;0,17235;0,17235;0,16559;0,16559;0,16559;0,16217;0,16217;0,16217
"45";20;100;0;0;1;0,5;0,20957;0,20957;0,20957;0,14492;0,14492;0,14492;0,1567;0,15669;0,15669;0,15496;0,15496;0,15496;0,15025;0,15025;0,15025
"46";20;100;0;0;1;1;0,0478;0,0478;0,0478;0,09201;0,09201;0,09201;0,10581;0,10579;0,10579;0,10535;0,10535;0,10535;0,10367;0,10367;0,10367
"47";20;100;0;0;1;10;0,00717;0,00717000000000001;0,00717000000000001;0,07352;0,07351;0,07351;0,08504;0,08504;0,08504;0,0851;0,0851;0,0851;0,08514;0,08514;0,08514
"48";20;100;0;0;1;2;0,02036;0,02036;0,02036;0,03345;0,03345;0,03345;0,04539;0,04539;0,04539;0,04488;0,04488;0,04488;0,04314;0,04314;0,04314
"49";20;100;0;0;1;4;0,0104;0,0104;0,0104;0,04617;0,04617;0,04617;0,05716;0,05716;0,05716;0,05722;0,05722;0,05722;0,05589;0,05589;0,05589
"50";20;100;1;0;1;0,1;1;1;1;0,99749;0,99749;0,99749;0,99838;0,99838;0,99838;0,99749;0,99749;0,99749;0,99749;0,99749;0,99749
"51";20;100;1;0;1;0,25;1;1;1;0,99726;0,99726;0,99726;0,99822;0,99822;0,99822;0,99726;0,99726;0,99726;0,99726;0,99726;0,99726
"52";20;100;1;0;1;0,5;0,99922;0,99922;0,99922;0,99722;0,99722;0,99722;0,99838;0,99838;0,99838;0,99738;0,99738;0,99738;0,9973;0,9973;0,9973
"53";20;100;1;0;1;1;0,96342;0,96341;0,96341;0,99215;0,99215;0,99215;0,99438;0,99438;0,99438;0,99347;0,99347;0,99347;0,9931;0,9931;0,9931
"54";20;100;1;0;1;10;0,04487;0,04486;0,04486;0,26988;0,26988;0,26988;0,29157;0,29157;0,29157;0,29171;0,29171;0,29171;0,29188;0,29186;0,29186
"55";20;100;1;0;1;2;0,65514;0,65513;0,65513;0,90699;0,90699;0,90699;0,92095;0,92095;0,92095;0,92057;0,92057;0,92057;0,91923;0,9192;0,9192
"56";20;100;1;0;1;4;0,23293;0,2329;0,2329;0,60791;0,60789;0,60789;0,63721;0,63721;0,63721;0,63752;0,63752;0,63752;0,6368;0,63678;0,63678
"57";20;20;0;0;1;0,1;0,17056;0,17056;0,17056;0,1638;0,1638;0,1638;0,1638;0,1638;0,1638;0,16497;0,16497;0,16497;0,16497;0,16497;0,16497
"58";20;20;0;0;1;0,25;0,14863;0,14863;0,14863;0,14094;0,14094;0,14094;0,14094;0,14094;0,14094;0,14535;0,14535;0,14535;0,14535;0,14535;0,14535
"59";20;20;0;0;1;0,5;0,09345;0,09345;0,09345;0,08532;0,08532;0,08532;0,08532;0,08532;0,08532;0,09121;0,09121;0,09121;0,09121;0,09121;0,09121
"60";20;20;0;0;1;1;0,03445;0,03445;0,03445;0,02767;0,02767;0,02767;0,02767;0,02767;0,02767;0,02993;0,02993;0,02993;0,02993;0,02993;0,02993
"61";20;20;0;0;1;10;0,17126;0,17126;0,17126;0,16405;0,16405;0,16405;0,16405;0,16404;0,16404;0,16526;0,16526;0,16526;0,16526;0,16526;0,16526
"62";20;20;0;0;1;2;0,09237;0,09237;0,09237;0,0844;0,0844;0,0844;0,0844;0,0844;0,0844;0,08989;0,08989;0,08989;0,08989;0,08989;0,08989
"63";20;20;0;0;1;4;0,15071;0,15071;0,15071;0,14277;0,14277;0,14277;0,14277;0,14277;0,14277;0,14737;0,14737;0,14737;0,14737;0,14737;0,14737
"64";20;20;1;0;1;0,1;0,99786;0,99786;0,99786;0,99712;0,99712;0,99712;0,99712;0,99712;0,99712;0,99713;0,99713;0,99713;0,99713;0,99713;0,99713
