"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"37";100;50;1;0;1;0,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"38";100;50;1;0;1;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"39";100;50;1;0;1;1;0,99996;0,99996;0,99996;0,99995;0,99995;0,99995;0,99995;0,99995;0,99995;0,99996;0,99996;0,99996;0,99995;0,99995;0,99995
"40";100;50;1;0;1;10;0,26597;0,26597;0,26597;0,11166;0,11166;0,11166;0,10658;0,10658;0,10658;0,10679;0,10678;0,10678;0,10668;0,10668;0,10668
"41";100;50;1;0;1;2;0,95698;0,95698;0,95698;0,90869;0,90867;0,90867;0,90474;0,90474;0,90474;0,90732;0,90732;0,90732;0,90631;0,90631;0,90631
"42";100;50;1;0;1;4;0,61479;0,61478;0,61478;0,40877;0,40877;0,40877;0,39944;0,39944;0,39944;0,40166;0,40166;0,40166;0,40064;0,40063;0,40063
"43";20;100;0;0;1;0,1;0,37993;0,37993;0,37993;0,05012;0,0501200000000001;0,0501200000000001;0,06198;0,06198;0,06198;0,05043;0,05043;0,05043;0,05019;0,05018;0,05018
"44";20;100;0;0;1;0,25;0,32713;0,32712;0,32712;0,04895;0,04895;0,04895;0,06085;0,06085;0,06085;0,05085;0,05085;0,05085;0,04936;0,04936;0,04936
"45";20;100;0;0;1;0,5;0,20276;0,20276;0,20276;0,04928;0,04928;0,04928;0,06094;0,06094;0,06094;0,05484;0,05484;0,05484;0,05077;0,05077;0,05077
"46";20;100;0;0;1;1;0,04949;0,04949;0,04949;0,04546;0,0454599999999999;0,0454599999999999;0,05704;0,05703;0,05703;0,05593;0,05593;0,05593;0,05045;0,05044;0,05044
"47";20;100;0;0;1;10;3e-05;2,99999999999745e-05;2,99999999999745e-05;0,038;0,038;0,038;0,04942;0,04942;0,04942;0,04948;0,04948;0,04948;0,04972;0,04972;0,04972
"48";20;100;0;0;1;2;0,0031;0,00309999999999999;0,00309999999999999;0,04136;0,04135;0,04135;0,05216;0,05216;0,05216;0,0525;0,0525;0,0525;0,0503;0,0503;0,0503
"49";20;100;0;0;1;4;0,00025;0,000249999999999972;0,000249999999999972;0,03841;0,0384100000000001;0,0384100000000001;0,04957;0,04956;0,04956;0,04978;0,04978;0,04978;0,04978;0,04978;0,04978
"50";20;100;1;0;1;0,1;0,99979;0,99979;0,99979;0,98947;0,98947;0,98947;0,99243;0,99243;0,99243;0,98956;0,98956;0,98956;0,9895;0,98949;0,98949
"51";20;100;1;0;1;0,25;0,99984;0,99984;0,99984;0,98908;0,98908;0,98908;0,99198;0,99198;0,99198;0,98936;0,98936;0,98936;0,98913;0,98913;0,98913
"52";20;100;1;0;1;0,5;0,99899;0,99899;0,99899;0,98679;0,98679;0,98679;0,99013;0,99013;0,99013;0,98818;0,98818;0,98818;0,98719;0,98719;0,98719
"53";20;100;1;0;1;1;0,98072;0,98072;0,98072;0,97289;0,97289;0,97289;0,97927;0,97927;0,97927;0,97821;0,97821;0,97821;0,97533;0,97533;0,97533
"54";20;100;1;0;1;10;0,00073;0,000730000000000008;0,000730000000000008;0,13827;0,13827;0,13827;0,16386;0,16386;0,16386;0,16393;0,16393;0,16393;0,1642;0,1642;0,1642
"55";20;100;1;0;1;2;0,62033;0,62031;0,62031;0,8921;0,8921;0,8921;0,91035;0,91035;0,91035;0,91077;0,91077;0,91077;0,90657;0,90656;0,90656
"56";20;100;1;0;1;4;0,04871;0,04869;0,04869;0,53594;0,53594;0,53594;0,57913;0,57913;0,57913;0,58017;0,58017;0,58017;0,58018;0,58016;0,58016
"57";20;20;0;0;1;0,1;0,0571;0,0571;0,0571;0,04981;0,04981;0,04981;0,04981;0,04981;0,04981;0,05018;0,05018;0,05018;0,05018;0,05018;0,05018
"58";20;20;0;0;1;0,25;0,05649;0,05648;0,05648;0,04926;0,04926;0,04926;0,04926;0,04926;0,04926;0,05109;0,05109;0,05109;0,05109;0,05109;0,05109
"59";20;20;0;0;1;0,5;0,05317;0,0531700000000001;0,0531700000000001;0,04622;0,04622;0,04622;0,04622;0,04621;0,04621;0,05088;0,05087;0,05087;0,05088;0,05087;0,05087
"60";20;20;0;0;1;1;0,04988;0,04988;0,04988;0,04317;0,04317;0,04317;0,04317;0,04317;0,04317;0,04956;0,04956;0,04956;0,04956;0,04956;0,04956
"61";20;20;0;0;1;10;0,05687;0,05687;0,05687;0,04976;0,04976;0,04976;0,04976;0,04976;0,04976;0,05007;0,0500699999999999;0,0500699999999999;0,05007;0,0500699999999999;0,0500699999999999
"62";20;20;0;0;1;2;0,05358;0,05358;0,05358;0,04641;0,04641;0,04641;0,04641;0,04641;0,04641;0,05115;0,05115;0,05115;0,05115;0,05115;0,05115
"63";20;20;0;0;1;4;0,05672;0,05671;0,05671;0,04962;0,04962;0,04962;0,04962;0,04962;0,04962;0,05161;0,0516;0,0516;0,05161;0,0516;0,0516
"64";20;20;1;0;1;0,1;0,99099;0,99099;0,99099;0,9892;0,98919;0,98919;0,9892;0,9892;0,9892;0,98928;0,98928;0,98928;0,98928;0,98928;0,98928
"65";20;20;1;0;1;0,25;0,98824;0,98824;0,98824;0,9859;0,98589;0,98589;0,9859;0,9859;0,9859;0,98647;0,98646;0,98646;0,98647;0,98646;0,98646
"66";20;20;1;0;1;0,5;0,97401;0,97401;0,97401;0,9693;0,9693;0,9693;0,9693;0,9693;0,9693;0,97227;0,97227;0,97227;0,97227;0,97227;0,97227
